LotArea,OverallQual,T_Sf,T_Bath,Fireplaces,GarageCars,Ppf_Adj,SalePrice
8899,7,1808.4,2,0,2,129.25,181134
11988,6,1958,1.5,1,1,123.375,188700
17423,9,3473.68,3,1,3,94,501837
13300,5,1600.04,1,0,1,111.625,132000
7180,5,1222.92,1,0,1,111.625,127000
24090,7,3006.52,2,2,1,129.25,244400
12180,4,1216.56,2,0,1,105.75,80000
4270,3,1341.2,1,0,0,99.875,79000
14303,8,2966.08,3,1,2,940,301500
9156,6,1905.92,2,1,2,123.375,185750
1477,4,959.1,2,0,1,105.75,80000
6762,7,1698.08,2,1,2,129.25,193879
11194,8,2545.44,2.5,1,2,940,230500
10041,8,2600.34,3.5,1,2,940,220000
4130,3,804.6,1,0,0,99.875,52000
10592,6,1828.64,1.5,2,1,123.375,165000
7750,8,1713.54,3.5,1,2,940,184100
9400,6,1528.1,4,0,0,123.375,127500
2448,7,2033.42,3.5,0,2,129.25,154000
10784,7,1681.2,2.5,1,2,129.25,160000
25339,5,1743.04,2,0,2,111.625,112000
10440,5,1886.64,2,1,2,111.625,157500
14230,8,2083.28,2,1,3,940,256300
10918,7,2437.28,1.5,2,1,129.25,234000
5604,5,1330.8,2,0,0,111.625,98000
8487,7,2073.84,2,0,2,129.25,190000
4435,6,1377.74,2,0,2,123.375,140000
6380,5,1428.12,1,1,1,111.625,113000
10634,5,1608.16,2,0,1,111.625,123000
16647,5,2507.2,3,2,2,111.625,171000
35760,10,4868.12,4.5,1,3,103.4,625000
17104,7,1926.52,3.5,1,2,129.25,179665
2665,5,1484.54,1.5,1,1,111.625,115000
13501,8,2157.34,3,1,3,940,255000
8760,7,2562.68,2.5,0,3,129.25,239799
21750,5,1771,1,1,2,111.625,115000
10240,6,2391.38,3,1,2,123.375,207500
7420,5,1478.06,1,0,2,111.625,132000
12342,4,1278.64,1,0,2,105.75,82500
14778,6,2288.24,2,1,2,123.375,224000
3136,7,1827.2,2,1,2,129.25,171750
10106,5,1676.74,3,0,0,111.625,127500
8450,7,2286.46,3,0,2,129.25,210000
4230,7,1923.36,2,1,2,129.25,208900
12704,8,2685.76,2.5,1,3,940,253293
7599,4,1251.1,2,0,2,105.75,129500
25095,5,2310.96,3,2,1,111.625,143000
10500,4,1235.52,1,1,0,105.75,115000
8172,4,1733.48,2,0,1,105.75,135000
7642,7,1873.36,1.5,1,1,129.25,189950
14803,6,2401.6,2.5,1,2,123.375,190000
16659,7,2924.1,3.5,1,2,129.25,235000
9196,7,2178.8,2,0,2,129.25,201000
8658,6,1931.94,2,1,2,123.375,160000
5586,6,1528.68,1,0,0,123.375,79900
8070,4,1443.6,2,0,0,105.75,123600
7795,7,1862.78,3.5,1,2,129.25,188500
11160,7,3020.3,3.5,2,2,129.25,244000
9098,4,983.96,2,0,0,105.75,86000
9965,8,3776.18,4,1,3,940,424870
4500,6,1998.52,3,0,2,123.375,162000
10593,7,2806.42,3,1,2,129.25,260400
4571,5,1603.2,1,0,3,111.625,98000
12984,5,2391.14,3,1,2,111.625,217500
11000,5,1681.12,1.5,1,2,111.625,154000
9738,5,1765.8,2,0,1,111.625,104900
10240,8,2547.04,2.5,1,3,940,275500
2628,7,1861.52,2.5,0,2,129.25,175500
8200,7,2265.56,2.5,1,2,129.25,219500
10552,5,2427.24,2.5,1,2,111.625,165500
10448,6,2395.12,2.5,1,2,123.375,158000
12968,5,1475.26,2,0,1,111.625,144000
4608,4,956.16,1,0,1,105.75,80000
10769,8,2189.76,2.5,0,2,940,212000
10800,8,2685.82,3.5,1,3,940,339750
9650,6,1930.6,3,1,2,123.375,167900
13173,9,2667.76,3,2,2,94,325000
5400,5,1190.74,1,0,1,111.625,117000
13006,7,2505.92,2.5,1,2,129.25,222000
2217,4,1397.9,1.5,0,1,105.75,88000
12735,4,1419.84,1,0,2,105.75,111250
10125,5,1734,2,0,2,111.625,126000
15611,8,2261.92,2.5,1,2,940,233230
14774,9,3013.04,2.5,1,3,94,333168
6629,6,1813.6,3,0,1,123.375,103600
21453,6,1636.04,2,2,2,123.375,180000
9600,6,1709.44,1,0,1,123.375,119000
35133,5,2570.26,2.5,2,3,111.625,186700
3316,8,1975.06,2.5,1,2,940,197000
16033,9,3152.92,3,1,3,94,326000
19900,7,3212.38,3,1,2,129.25,180000
8400,8,2120.7,3.5,0,2,940,227000
8000,6,2146.22,3.5,1,2,123.375,188000
5400,6,2209.76,2,0,1,123.375,152000
10800,5,2163.8,3,1,2,111.625,170000
11880,7,2168.08,2,1,2,129.25,157000
14684,7,2952.18,2,1,3,129.25,271900
1680,6,1229.64,1.5,0,1,123.375,89500
11050,9,3097.86,3.5,2,3,94,313000
6402,5,1479.44,1,0,1,111.625,78000
7314,7,1876,3,0,2,129.25,194500
4928,6,1459.84,2,1,2,123.375,128000
10420,6,1641.76,2,0,2,123.375,186000
5105,7,1375.98,2.5,0,2,129.25,148800
12137,7,2149.92,2,0,2,129.25,224900
13450,7,2400.28,3.5,0,2,129.25,2.00E+05
11670,9,2591.2,2,1,3,94,320000
7000,5,1299.72,2,0,1,111.625,136500
5000,5,1658.96,1,0,1,111.625,79000
45600,6,2945.28,3,1,2,123.375,240000
8731,5,1806.78,1,1,2,111.625,144000
10998,5,1938.72,2,0,2,111.625,117000
12244,8,3042.42,3.5,2,3,940,305000
13693,9,3569.72,2.5,1,3,94,380000
10356,5,1455.12,1.5,0,2,111.625,122000
18450,6,2731.54,2.5,1,2,123.375,129000
9100,7,2464.8,2,1,2,129.25,216837
19378,7,3122.64,3.5,1,2,129.25,320000
11340,6,1736.64,1,0,1,123.375,125000
12800,7,2574.04,4,1,2,129.25,275000
7082,5,2320.72,2,0,0,111.625,160000
5000,5,1254.12,1,0,2,111.625,87000
8072,5,1542.2,2,0,2,111.625,138000
3182,7,1545.2,2,1,2,129.25,160200
3735,7,1807.68,3.5,0,2,129.25,183900
5310,6,2015.08,1,0,1,123.375,117000
7922,5,1613.86,2,0,1,111.625,109000
9900,6,1914.54,2,1,1,123.375,139500
10159,9,3154.36,3.5,1,3,94,395192
10355,5,1851.22,2,1,1,111.625,143000
9600,7,1864.56,1.5,1,2,129.25,175500
9100,5,986.76,1,0,1,111.625,79500
8063,6,2049.12,2.5,1,2,123.375,181000
10780,5,1353.98,1,0,2,111.625,132500
2280,6,1919.14,2.5,1,2,123.375,148500
8012,6,1360.62,2,1,1,123.375,143000
10991,8,2039.68,2,1,3,940,239000
1890,6,1624.64,1.5,0,1,123.375,113000
8877,4,1251.48,2,1,1,105.75,1.00E+05
2592,5,1348.66,1.5,0,1,111.625,85000
7015,5,1675.26,2,1,1,111.625,110000
8820,5,2624.52,1,0,2,111.625,124900
13680,3,1733,2,1,2,99.875,139600
12144,5,1403.86,1,1,1,111.625,133000
7917,6,1945.84,2.5,1,2,123.375,175000
2645,8,1658.28,2.5,0,2,940,174000
15870,5,1378.3,2,0,1,111.625,138800
8834,9,3098.44,3.5,1,3,94,350000
9056,8,1701.96,2.5,1,2,940,178000
10029,6,2813.98,3.5,1,2,123.375,211000
10625,7,2833.24,3.5,1,3,129.25,284000
28698,5,2571.74,3.5,0,2,111.625,185000
8892,5,1409.08,1.5,0,2,111.625,126500
9250,5,1606.44,2,0,1,111.625,139400
3922,7,1841.44,3,1,3,129.25,194201
6240,8,2103.06,3,1,2,940,254000
20781,7,2729.1,2,1,2,129.25,262500
8712,4,1546.92,1,0,1,105.75,102776
9873,4,1695.9,2,0,2,105.75,129000
11250,6,1932.7,2.5,1,2,123.375,165000
17871,6,2352.8,2.5,1,2,123.375,197900
9439,5,1769.52,1,0,1,111.625,87000
8967,5,1346.08,1,0,1,111.625,67000
11664,6,1589.76,1,1,1,123.375,119200
6000,6,1497.92,1,1,1,123.375,120000
7200,7,1893.76,3,1,2,129.25,187750
6040,4,1152,2,0,0,105.75,82000
5000,6,2115.7,2,2,2,123.375,159000
14977,8,3139.68,3,1,3,940,440000
9591,8,2539.84,3,1,3,940,274900
17755,5,2041.28,1.5,2,2,111.625,149900
5232,5,954.4,1,0,2,111.625,73000
11210,7,2208.4,2,0,3,129.25,221500
22950,10,3553.96,2.5,2,3,103.4,475000
7500,4,1467.76,1,0,2,105.75,68400
5100,8,2000.08,1,1,1,940,161000
7681,5,1756.48,1.5,1,1,111.625,154900
9548,7,2387.62,3.5,1,2,129.25,237000
8775,5,1466.9,1,0,1,111.625,126000
8462,6,2480.64,3.5,0,2,123.375,201000
7851,6,2605.26,3.5,2,2,123.375,216500
7438,5,1457.6,1,0,2,111.625,127000
8960,5,1424.64,1,1,2,111.625,115000
9600,6,2175.24,2,2,1,123.375,153000
14112,5,1778.76,2,1,2,111.625,180500
9400,6,2079.36,3,0,0,123.375,139000
3500,5,1607.2,1.5,0,1,111.625,110000
7875,7,1752.56,2,1,2,129.25,176000
13346,7,2852,3.5,1,2,129.25,268000
8400,6,1786,2.5,1,2,123.375,171000
9060,6,1476,1,0,1,123.375,105000
13695,6,1732.52,2,0,2,123.375,155000
11428,8,2124.48,2,1,3,940,250000
8777,5,2937.36,5,0,0,111.625,145900
8749,7,2017.76,2,1,2,129.25,192000
53227,4,2628.2,2,2,2,105.75,256000
7227,6,1064.96,1,0,2,123.375,105500
4224,5,2128.28,2.5,1,2,111.625,134000
14450,9,2870.16,2.5,1,3,94,415298
7917,6,1911.74,2.5,1,1,123.375,148000
9247,6,2119.14,1.5,1,2,123.375,171000
7200,5,1069.6,1,0,2,111.625,98300
17600,6,2304.84,3,2,2,123.375,157500
10768,5,2203.26,3,1,2,111.625,218000
9906,4,1710.48,1,0,1,105.75,107000
11694,9,2438.96,2,1,3,94,314813
4282,7,2008.4,2,0,2,129.25,196000
14157,9,2986.02,3,1,3,94,377426
13518,9,3830.96,3.5,2,3,94,485000
9000,4,1290.72,1,0,2,105.75,120500
11423,8,2562.68,3,1,2,940,272000
3182,7,1695.28,2,1,2,129.25,159895
4043,6,1520.32,2,1,2,123.375,127500
6960,4,1211.02,1,0,2,105.75,120500
10625,7,2413.28,2.5,1,3,129.25,250000
9672,6,1489.6,2,0,2,123.375,152000
7200,7,1817.84,1.5,1,1,129.25,149000
12227,6,4079.8,3.5,1,2,123.375,272000
13515,6,2148.8,1,1,2,123.375,180500
12384,7,2469.2,2.5,1,2,129.25,197900
12182,7,2388.78,2,1,2,129.25,220000
9453,7,2428.88,2.5,0,2,129.25,194500
3604,7,1666.52,2,0,2,129.25,146000
16737,9,3004.5,3,1,3,94,315000
11616,5,1403.88,2,1,1,111.625,139000
7700,6,2339.96,1.5,1,2,123.375,155000
11040,6,1841.14,3,0,2,123.375,145000
8688,7,2115.68,2,0,3,129.25,232000
11040,4,1848.66,1.5,0,1,105.75,108000
9937,5,1829.88,2.5,0,1,111.625,147500
2280,6,1804.82,2.5,1,2,123.375,146000
8450,7,1952.26,3,0,2,129.25,185000
5720,5,1336.4,1.5,0,1,111.625,66500
7577,6,1890.8,2,1,2,123.375,194700
2280,7,1874.02,2.5,0,2,129.25,179400
8125,7,1831.6,2.5,0,2,129.25,197000
11214,7,2201.58,2.5,1,2,129.25,199900
7804,4,2784.18,3,2,2,105.75,135000
12394,7,2070.56,2.5,1,2,129.25,225000
9808,7,2307.44,3,0,2,129.25,227000
4671,8,2002.1,3,1,2,940,189000
20431,9,3668.44,3.5,2,3,94,437154
12000,5,1282.48,2,0,2,111.625,147000
8410,5,1489.04,1,0,0,111.625,81000
10852,6,2205.72,3.5,1,2,123.375,173000
4224,5,1753.2,2,1,2,111.625,129900
8163,5,1659.72,2,1,1,111.625,143000
15498,8,3784.42,3,1,2,940,287000
9350,5,1869.82,3,1,2,111.625,179900
7500,7,2138.62,3.5,0,2,129.25,216000
16669,8,2586.16,2.5,1,2,940,228000
10762,7,2465.04,2.5,1,2,129.25,225000
21750,5,1264.64,1,0,2,111.625,113000
9600,7,1715.3,2,1,2,129.25,161000
10300,7,1943.84,2,0,2,129.25,140000
10440,5,1511.72,1.5,0,2,111.625,110000
8235,5,1056.2,2,0,2,111.625,125000
12046,6,2493.44,2.5,1,2,123.375,195000
8480,5,1449.8,2,0,2,111.625,132500
6292,6,1233.04,1,0,1,123.375,91000
10421,7,2438.04,2.5,1,2,129.25,196500
5925,4,1492.96,1,0,2,105.75,89471
6342,5,1393.28,1,0,0,111.625,94000
9920,7,2799.96,3.5,1,2,129.25,269790
10721,6,1633.76,1,0,2,123.375,142000
13400,5,1491.68,2,1,2,111.625,159950
5687,5,2144.6,3,0,0,111.625,135900
13710,5,2117.98,1.5,0,1,111.625,152000
11625,5,1582.22,2.5,0,2,111.625,131500
13600,7,2370.84,2.5,3,2,129.25,205000
6000,5,1614.08,2,0,1,111.625,93000
4045,7,2216.68,3,1,3,129.25,246578
7763,5,1664.64,2,0,2,111.625,140000
7500,6,1873.98,1,2,1,123.375,177500
11308,9,2855.52,3.5,1,3,94,335000
10206,8,2179.02,2,1,3,940,245000
6970,4,1794.96,2.5,0,2,105.75,129000
8445,5,1179.84,2,0,2,111.625,133000
11218,6,2223.6,2.5,1,2,123.375,189000
1596,4,1411.16,2,0,1,105.75,91000
7560,5,1750.46,1,0,1,111.625,133700
11361,6,2050.24,3,1,2,123.375,180000
14536,8,2673.08,3,1,3,940,270000
9100,7,2400.8,3,0,2,129.25,235000
10380,7,2947.66,3.5,1,2,129.25,301000
7259,6,2936.92,3.5,1,1,123.375,259500
3196,8,1917.1,2,1,2,940,215000
12168,8,3592.6,2.5,2,2,940,359100
2887,6,2143.72,2,1,2,123.375,173000
7500,7,1776.28,3,0,2,129.25,185000
10084,7,2099.04,2,0,3,129.25,212900
7590,5,2350.32,2,1,1,111.625,169500
9452,8,3161.08,3.5,1,3,940,348000
8339,5,882,1,0,1,111.625,106500
10800,4,1151.68,2,0,1,105.75,64500
8963,8,3348.06,4.5,2,2,940,299800
11643,5,3133.44,5,0,4,111.625,2.00E+05
9375,8,2409.64,2.5,1,2,940,250000
11200,5,1603,2,0,1,111.625,129500
10000,6,1428.48,1.5,0,2,123.375,160000
10205,5,1550.8,2,0,1,111.625,134500
12090,8,2770.16,2.5,1,2,940,258000
7200,7,1496.72,2,0,2,129.25,155000
9600,6,1943.68,1.5,0,1,123.375,140000
8500,4,1693.28,1,0,1,105.75,40000
10304,5,2555.26,3.5,1,2,111.625,197500
7200,6,2944.72,3,1,2,123.375,133900
6120,7,1206.32,1,0,2,129.25,132000
13650,5,2108.18,3,1,2,111.625,172500
7094,5,1093.6,1,0,1,111.625,125000
11787,7,3196,3.5,1,3,129.25,315750
15611,5,1756.94,3,0,2,111.625,175000
4438,6,1376.42,2,1,2,123.375,149000
21930,5,2074.96,2.5,1,2,111.625,192140
9000,5,2078.88,3,0,0,111.625,136000
53107,6,3009.62,3.5,2,2,123.375,240000
9600,7,2055.56,2.5,1,2,129.25,178000
12435,7,2246.74,2.5,1,2,129.25,231500
5784,5,1114.88,1,0,1,111.625,91300
7950,6,1935.94,1.5,0,2,123.375,159500
3684,7,2044.1,2,1,3,129.25,174000
5814,8,2051.46,2,1,2,940,187500
8773,6,1948.88,2.5,1,2,123.375,169000
7420,5,1612.98,2,2,1,111.625,118000
9135,6,2291.36,3,0,2,123.375,2.00E+05
10200,5,964.32,1,0,1,111.625,108000
6000,5,993.8,1,0,1,111.625,115000
10382,7,3158.24,3.5,2,2,129.25,2.00E+05
12342,5,1727.52,1,1,1,111.625,139900
19296,6,1993.52,2,1,2,123.375,176000
11000,8,2601.12,2.5,1,3,940,248000
9246,5,2288.48,2,0,2,111.625,135000
8499,6,1613.28,2.5,1,2,123.375,156932
7200,6,1982.86,2,0,2,123.375,185000
17217,5,1504,1,0,0,111.625,84500
6420,5,1331.12,2,0,1,111.625,123500
8125,6,2587.12,3,1,2,123.375,193500
17671,8,2198.48,1.5,1,2,940,168000
9303,6,2409.64,3.5,0,2,123.375,204000
8125,6,1706.36,2.5,1,2,123.375,174000
7064,5,1541.44,1,0,2,111.625,135000
6171,6,1973.28,2.5,1,1,123.375,137450
18000,3,1160.32,1,0,3,99.875,81000
7728,5,1754.98,2,0,2,111.625,132500
8414,6,1682.46,2,0,1,123.375,154500
11500,4,960.32,1,0,1,105.75,84000
26142,5,1729.74,1,0,1,111.625,157900
10832,7,2219.82,2.5,1,2,129.25,194500
9717,5,1204.98,2,0,1,111.625,142125
19138,4,1141.92,1,0,2,105.75,141000
9000,8,2551.56,3,0,2,940,262500
9340,4,1053.76,2,0,1,105.75,113000
9945,5,1512.74,2,0,2,111.625,128500
10859,5,1698.4,1.5,0,2,111.625,145000
10192,7,2158,3,1,2,129.25,170000
11198,9,2938.64,2.5,1,3,94,325000
13695,5,1701.32,2.5,0,2,111.625,159000
11394,9,2879.24,2.5,1,3,94,394432
9375,7,2607.8,2.5,1,2,129.25,263000
11096,8,2243.68,2,0,3,940,249700
8430,5,1516,2,0,0,111.625,124000
7446,4,1088.44,1,2,0,105.75,1.00E+05
8633,6,1830.54,3.5,0,2,123.375,173500
7685,6,2019.76,2.5,1,2,123.375,165600
7018,5,1928.28,3,2,2,111.625,153337
8532,5,2024.06,2,1,2,111.625,153000
9900,7,3704.78,3.5,1,3,129.25,260000
9758,5,1259.24,1,0,1,111.625,119500
15523,5,1243.92,2,1,1,111.625,133500
8461,6,1679.04,2.5,1,2,123.375,163990
7500,5,1443.2,2.5,0,1,111.625,154000
12108,4,1883.1,2,0,0,105.75,118000
1950,6,1709.24,3.5,1,2,123.375,151000
10994,8,2688.32,3,1,2,940,257000
10140,6,1647.92,2,1,2,123.375,165000
9022,5,1308.56,1,0,1,111.625,109500
13000,6,2584.88,2.5,1,1,123.375,193500
6853,8,2091.3,3,0,2,940,220000
9000,6,1750.88,2,1,1,123.375,139000
11616,6,1913.26,2.5,1,2,123.375,158900
14115,5,1853.28,2.5,0,2,111.625,143000
7024,5,1728.4,2.5,0,2,111.625,157000
14175,5,2254.52,2.5,1,2,111.625,168000
4456,4,1747.84,2,0,0,105.75,113000
9017,7,2027.68,3,0,2,129.25,192000
8500,7,1868.16,2,0,2,129.25,179600
3635,7,2269.48,3,1,3,129.25,175900
13704,7,2327.44,2,1,3,129.25,205000
6993,5,1630.86,1,1,1,111.625,135000
4923,8,2480.94,2.5,1,2,940,286000
10570,8,3114.14,2.5,2,2,940,315000
16492,6,2187.22,2.5,1,2,123.375,190000
12376,7,4358.98,4,2,3,129.25,320000
8816,6,1486,2,0,2,123.375,155000
13072,6,1804.54,2.5,0,2,123.375,158000
9120,6,1812.68,2,1,2,123.375,163000
9100,5,1154.92,2,0,1,111.625,117500
7800,5,1650.16,2,0,1,111.625,119900
9204,5,1298.06,2.5,0,1,111.625,124000
15306,8,2284.96,3,1,3,940,283463
12257,8,3114.96,2.5,1,3,940,290000
12456,10,2717.92,3,1,3,103.4,337500
14006,7,2204.16,2.5,1,2,129.25,192500
21535,10,5713.66,4.5,2,3,103.4,755000
5350,3,1672.9,1,0,0,99.875,76500
11341,5,2172.36,2.5,1,2,111.625,121500
10793,5,2034.9,2.5,0,2,111.625,152000
13837,7,2764.16,2.5,0,3,129.25,229000
13825,5,1951.04,2,0,1,111.625,140000
13688,9,3660.96,3.5,2,3,94,412500
6292,7,1758.08,3,1,1,129.25,145000
10562,8,3196.72,2.5,1,3,940,325624
12205,6,2707.22,2.5,0,2,123.375,187500
8635,5,1562.48,2,0,1,111.625,127000
11362,8,2887.28,3,1,3,940,280000
9855,6,2091.08,1,1,2,123.375,127500
10659,5,1873.7,2,0,1,111.625,136500
9337,6,2340.72,3.5,0,2,123.375,204750
8123,6,2187.36,2.5,1,2,123.375,179000
8990,7,2161.46,2,0,2,129.25,204900
8263,6,1411.52,1,1,1,123.375,118400
8248,3,1206.22,2,0,0,99.875,67000
8600,6,1594.4,2,1,1,123.375,119500
3880,5,1226.34,1,0,0,111.625,110500
11838,8,2524.88,2,1,2,940,236500
10316,7,2510.46,3.5,1,3,129.25,235000
9900,7,2410.96,2.5,1,2,129.25,176000
15576,6,2056,2,0,1,123.375,177000
8521,5,1419.96,1,1,1,111.625,125000
10800,5,2222.36,3,0,1,111.625,139000
5330,8,2527.04,3,0,2,940,251000
14331,8,2916,3,1,3,940,312500
11584,7,2200.1,2.5,1,2,129.25,197000
13031,6,2099.58,2.5,1,2,123.375,187500
12358,5,1310.54,1.5,0,2,111.625,128500
9742,8,2525.78,2,1,2,940,230000
17542,7,2287.18,3.5,2,2,129.25,294000
7758,5,1560.72,2,0,1,111.625,132500
15750,5,1914.5,2,2,1,111.625,157000
9842,4,1224,2,0,2,105.75,101800
10778,4,2263.04,2,0,0,105.75,136500
6792,7,1860.88,2,1,2,129.25,202665
7862,6,1648.74,2,0,2,123.375,208300
5500,4,1128.96,1,0,0,105.75,103200
8773,7,1982.96,2,0,2,129.25,185500
12150,5,2089,2,0,1,111.625,131500
9600,5,1742.48,1,0,1,111.625,125000
8925,8,1957.68,2,0,3,940,201000
12513,4,1938.2,2,1,1,105.75,104900
7931,5,1587.56,1.5,1,1,111.625,155000
9590,7,1741.64,3,1,2,129.25,187500
7677,5,1160.44,1,0,1,111.625,110000
9084,7,1916.2,2.5,1,2,129.25,176500
14364,7,2786.66,3.5,1,2,129.25,277000
8800,6,1859.98,2,2,1,123.375,160000
6120,5,1868,1.5,0,2,111.625,141500
6930,5,2019.92,2,0,1,111.625,130000
8125,7,1892.64,2.5,0,2,129.25,205950
11782,5,1854.26,2,0,2,111.625,148000
6762,7,1860.06,3,0,2,129.25,206000
3842,8,2546.62,4,1,2,940,275000
9920,5,1528,2,0,1,111.625,128000
7590,6,1889.36,1.5,1,2,123.375,155000
9600,6,2152.9,2.5,1,2,123.375,187000
16466,5,1696.5,1.5,0,1,111.625,135500
5684,6,1131.04,1,0,1,123.375,110000
15138,8,3704.62,3.5,1,3,940,403000
8198,7,2097.28,3,1,2,129.25,207000
7200,5,1510.72,1,0,2,111.625,123000
8385,5,1569.5,2,0,1,111.625,149900
12444,8,2926.56,3,1,3,940,394617
3982,8,2532.24,3,1,3,940,264561
4712,4,1599.96,2.5,0,1,105.75,121600
5500,5,1061.72,2,0,2,111.625,130000
8450,5,1650.58,2,1,1,111.625,138500
8546,4,1567.92,2,0,2,105.75,140000
6240,6,1113.92,1,1,2,123.375,114500
13472,10,3316.32,2,1,3,103.4,386250
4435,6,1290.94,2,0,2,123.375,144000
10186,7,2366.4,3.5,1,2,129.25,190000
8877,4,1704.88,1,0,2,105.75,102000
11777,5,1954.84,2,2,2,111.625,164500
11250,4,2097.12,2,2,1,105.75,161500
6173,5,1326.98,1,0,1,111.625,125500
9750,7,2835.74,3.5,1,2,129.25,274300
